image,pred_count,suspect_count,status,signal,confidence,gt_count,is_correct,is_multi_gt,is_multi_pred,read_ms,preprocess_ms,infer_ms,post_ms,signal_ms,total_ms,vis_path,error_type,reasons
B213395895964_Hikrobot MV-PD010003-12C-8C (DA8401808)_1943072.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,93.493,0.0,138.451,0.398,0.001,232.353,,unknown,no valid parcel candidate found
B213397017916_Hikrobot MV-PD010003-12C-8C (DA8401808)_5543112.jpg,0,1,UNKNOWN,REVIEW,0.313461,1,0,0,0,73.946,0.0,190.384,0.405,0.001,264.744,,unknown,only low-confidence candidates found
B213663414110_Hikrobot MV-PD010003-12C-8C (DA8401808)_2428931.jpg,0,1,UNKNOWN,REVIEW,0.352686,1,0,0,0,81.88,0.0,182.035,0.433,0.001,264.355,,unknown,only low-confidence candidates found
B213663590440_Hikrobot MV-PD010003-12C-8C (DA8401808)_3655264.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,90.83,0.0,149.827,0.383,0.001,241.048,,unknown,no valid parcel candidate found
B213733000914_Hikrobot MV-PD010003-12C-8C (DA8401808)_3352201.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,80.006,0.0,141.9,0.424,0.001,222.338,,unknown,no valid parcel candidate found
B213745728260_Hikrobot MV-PD010003-12C-8C (DA8401808)_5142580.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,69.012,0.0,149.257,0.318,0.001,218.594,,unknown,no valid parcel candidate found
B213747680534_Hikrobot MV-PD010003-12C-8C (DA8401808)_3052968.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,70.804,0.0,160.854,0.421,0.002,232.089,,unknown,no valid parcel candidate found
B213831322932_Hikrobot MV-PD010003-12C-8C (DA8401808)_2320839.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,95.125,0.0,157.195,0.446,0.001,252.777,,unknown,no valid parcel candidate found
B213843765884_Hikrobot MV-PD010003-12C-8C (DA8401808)_4627846.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,76.759,0.0,149.149,0.435,0.001,226.353,,unknown,no valid parcel candidate found
B213844464786_Hikrobot MV-PD010003-12C-8C (DA8401808)_4623590.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,99.008,0.0,170.67,0.517,0.001,270.206,,unknown,no valid parcel candidate found
B213845462442_Hikrobot MV-PD010003-12C-8C (DA8401808)_4248772.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,95.027,0.0,173.805,0.515,0.002,269.36,,unknown,no valid parcel candidate found
B213857846129_Hikrobot MV-PD010003-12C-8C (DA8401808)_3606851.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,96.645,0.0,148.948,0.395,0.001,245.996,,unknown,no valid parcel candidate found
